location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper,cluster
115,Jamaica,JAM,Country,2021,1198938,1115428,1284872,2379801,2214040,2550374,826770,756294,897451,1641076,1501186,1781373,165065,127008,210529,327641,252101,417884,151393,121265,186270,300504.0,240701,369732,55710,110580,429,399,460,851,792,912,296,271,321,587,537,637,59,45,75,117,90,150,54,43,67,108,86,132,20,40,0.69,0.654,0.723,0.138,0.108,0.17,0.126,0.103,0.155,0.047,0.043,0.05,0.074,0.069,0.08,0.051,0.046,0.055,0.01,0.008,0.013,0.009,0.007,0.011,0.003,0.003,0.003,0
67,Japan,JPN,Country,2021,453057589,440071814,466530218,656950323,638120467,676486135,383797042,371010817,397238811,556519959,537979457,576011022,14707848,14173935,15191318,21326925,20552732,22027976,54552699,53394373,55738288,79103439.0,77423823,80822586,0,0,3541,3439,3646,5134,4987,5287,3000,2900,3105,4350,4205,4502,115,111,119,167,161,172,426,417,436,618,605,632,0,0,0.847,0.842,0.852,0.032,0.031,0.034,0.12,0.117,0.125,0.0,0.0,0.0,0.106,0.103,0.109,0.09,0.087,0.093,0.003,0.003,0.004,0.013,0.012,0.013,0.0,0.0,0.0,3
144,Jordan,JOR,Country,2021,3295610,3063192,3542941,8622102,8014041,9269178,1198530,1063103,1354835,3135641,2781331,3544572,522221,440112,612795,1366254,1151437,1603218,1314871,1151292,1498697,3440016.0,3012054,3920948,259988,680190,267,249,288,700,650,752,97,86,110,254,226,288,42,36,50,111,93,130,107,93,122,279,244,318,21,55,0.364,0.329,0.399,0.159,0.135,0.185,0.399,0.362,0.435,0.079,0.073,0.085,0.062,0.056,0.069,0.023,0.019,0.026,0.01,0.008,0.012,0.025,0.021,0.029,0.005,0.005,0.005,0
36,Kazakhstan,KAZ,Country,2021,8615837,7963232,9231118,23049426,21303553,24695451,5580596,5107375,6035424,14929431,13663452,16146205,830031,552606,1198423,2220532,1478353,3206068,2147383,1953019,2333480,5744764.0,5224794,6242618,57826,154698,455,420,487,1217,1125,1304,295,270,319,788,721,853,44,29,63,117,78,169,113,103,123,303,276,330,3,8,0.648,0.609,0.684,0.096,0.065,0.134,0.249,0.226,0.273,0.007,0.006,0.007,0.04,0.036,0.043,0.026,0.023,0.028,0.004,0.003,0.006,0.01,0.009,0.011,0.0,0.0,0.0,0
180,Kenya,KEN,Country,2021,5198669,4766181,5676556,14241169,13056416,15550288,2404253,2099267,2702252,6586180,5750707,7402516,545342,314375,872699,1493903,861194,2390660,1100450,920129,1327888,3014560.0,2520589,3637600,1148624,3146525,104,95,113,284,261,310,48,42,54,132,115,148,11,6,17,30,17,48,22,18,27,60,50,73,23,63,0.463,0.421,0.508,0.104,0.061,0.156,0.212,0.18,0.245,0.221,0.202,0.241,0.049,0.045,0.055,0.023,0.02,0.026,0.005,0.003,0.008,0.01,0.009,0.013,0.011,0.01,0.011,0
23,Kiribati,KIR,Country,2021,46115,43101,49072,57444,53689,61128,25224,22952,27907,31420,28590,34763,773,446,1169,963,556,1456,6305,4378,8584,7854.0,5453,10693,13813,17207,381,356,405,474,443,504,208,189,230,259,236,287,6,4,10,8,5,12,52,36,71,65,45,88,114,142,0.547,0.51,0.58,0.017,0.01,0.025,0.136,0.101,0.177,0.3,0.281,0.32,0.218,0.199,0.237,0.119,0.106,0.134,0.004,0.002,0.006,0.03,0.021,0.04,0.065,0.061,0.068,0
145,Kuwait,KWT,Country,2021,9329653,8821707,9934697,13225111,12505079,14082782,8382154,7846333,8992741,11881997,11122452,12747527,88625,75823,103024,125629,107481,146040,858875,781775,945253,1217485.0,1108193,1339929,0,0,1999,1890,2129,2834,2680,3018,1796,1681,1927,2546,2383,2732,19,16,22,27,23,31,184,168,203,261,237,287,0,0,0.898,0.887,0.909,0.01,0.008,0.011,0.092,0.082,0.103,0.0,0.0,0.0,0.055,0.049,0.063,0.049,0.044,0.056,0.001,0.0,0.001,0.005,0.004,0.006,0.0,0.0,0.0,3
37,Kyrgyzstan,KGZ,Country,2021,659535,597932,730136,2352673,2132925,2604521,291902,247450,345682,1041264,882696,1233105,246,121,429,877,432,1532,245673,202238,297132,876359.0,721417,1059921,121713,434172,96,87,107,343,311,380,43,36,50,152,129,180,0,0,0,0,0,0,36,30,43,128,105,155,18,63,0.442,0.392,0.492,0.0,0.0,0.001,0.372,0.321,0.426,0.185,0.167,0.204,0.058,0.052,0.065,0.026,0.022,0.031,0.0,0.0,0.0,0.022,0.018,0.026,0.011,0.011,0.011,0
12,Lao People's Democratic Republic,LAO,Country,2021,482067,453114,520709,2168486,2038247,2342311,109523,93737,125007,492670,421658,562320,40886,20819,70045,183918,93650,315085,126196,113373,142142,567671.0,509987,639398,205461,924226,65,61,70,293,275,316,15,13,17,66,57,76,6,3,9,25,13,43,17,15,19,77,69,86,28,125,0.227,0.2,0.254,0.084,0.045,0.136,0.262,0.236,0.291,0.427,0.395,0.453,0.032,0.029,0.034,0.007,0.006,0.008,0.003,0.001,0.005,0.008,0.007,0.01,0.014,0.013,0.014,0
59,Latvia,LVA,Country,2021,3624600,3531794,3720781,6464945,6299413,6636495,2518323,2441796,2595467,4491756,4355260,4629353,139136,110100,173225,248167,196379,308970,967142,917123,1020519,1725023.0,1635808,1820228,0,0,1941,1891,1993,3462,3374,3554,1349,1308,1390,2405,2332,2479,75,59,93,133,105,165,518,491,547,924,876,975,0,0,0.695,0.68,0.708,0.038,0.031,0.048,0.267,0.255,0.279,0.0,0.0,0.0,0.092,0.09,0.095,0.064,0.062,0.066,0.004,0.003,0.004,0.025,0.023,0.026,0.0,0.0,0.0,3
