location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper,cluster
211,Mali,MLI,Country,2021,926702,872540,985212,2749504,2588808,2923102,242067,215457,269675,718208,639255,800119,58056,28859,100650,172251,85625,298625,277941,246755,310567,824646.0,732117,921445,348638,1034400,38,36,41,114,108,121,10,9,11,30,27,33,2,1,4,7,4,12,12,10,13,34,30,38,14,43,0.261,0.236,0.29,0.062,0.032,0.106,0.3,0.273,0.331,0.377,0.354,0.4,0.042,0.032,0.051,0.011,0.008,0.014,0.003,0.001,0.005,0.013,0.009,0.016,0.016,0.012,0.019,0
88,Malta,MLT,Country,2021,1812023,1759417,1863372,3092310,3002536,3179940,1188859,1160455,1218239,2028848,1980376,2078987,53999,49358,58717,92151,84232,100203,569165,527445,612947,971310.0,900112,1046025,0,0,4084,3966,4200,6970,6768,7168,2680,2616,2746,4573,4464,4686,122,111,132,208,190,226,1283,1189,1382,2189,2029,2358,0,0,0.656,0.638,0.672,0.03,0.027,0.032,0.314,0.297,0.332,0.0,0.0,0.0,0.125,0.121,0.13,0.082,0.08,0.085,0.004,0.003,0.004,0.039,0.037,0.043,0.0,0.0,0.0,1
24,Marshall Islands,MHL,Country,2021,26436,24026,29442,24892,22624,27723,14888,13226,16623,14019,12454,15653,2071,1457,2925,1950,1372,2755,5081,3536,6905,4784.0,3329,6502,4396,4139,468,425,521,441,401,491,264,234,294,248,221,277,37,26,52,35,24,49,90,63,122,85,59,115,78,73,0.563,0.515,0.608,0.078,0.055,0.108,0.192,0.142,0.246,0.167,0.149,0.183,0.073,0.066,0.082,0.041,0.037,0.047,0.006,0.004,0.008,0.014,0.01,0.019,0.012,0.012,0.013,0
212,Mauritania,MRT,Country,2021,430079,390216,475268,1338825,1214732,1479496,148294,123966,177730,461637,385901,553270,17676,9011,29838,55025,28050,92886,131603,103763,164103,409678.0,323011,510848,132505,412485,98,89,108,305,277,337,34,28,40,105,88,126,4,2,7,13,6,21,30,24,37,93,74,116,30,94,0.345,0.299,0.396,0.041,0.022,0.068,0.305,0.254,0.359,0.309,0.279,0.34,0.048,0.041,0.055,0.017,0.013,0.02,0.002,0.001,0.003,0.015,0.011,0.019,0.015,0.013,0.016,0
183,Mauritius,MUS,Country,2021,767155,732226,803608,2020374,1928388,2116378,369852,346085,394708,974040,911448,1039500,48251,39749,57982,127075,104681,152700,325415,303042,348221,857012.0,798090,917072,23636,62247,603,576,632,1588,1516,1663,291,272,310,766,716,817,38,31,46,100,82,120,256,238,274,674,627,721,19,49,0.482,0.46,0.503,0.063,0.053,0.075,0.424,0.403,0.445,0.031,0.029,0.032,0.065,0.062,0.069,0.031,0.029,0.034,0.004,0.003,0.005,0.028,0.026,0.03,0.002,0.002,0.002,0
130,Mexico,MEX,Country,2021,82997618,79952333,86276356,173489135,167123605,180342652,41478963,38895780,44081100,86703085,81303481,92142306,7005842,6852229,7161743,14644245,14323150,14970124,34491632,32492024,36692725,72097532.0,67917771,76698455,21181,44274,641,617,666,1339,1290,1392,320,300,340,669,627,711,54,53,55,113,111,116,266,251,283,556,524,592,0,0,0.5,0.479,0.52,0.084,0.081,0.088,0.416,0.396,0.437,0.0,0.0,0.0,0.058,0.055,0.06,0.029,0.027,0.031,0.005,0.005,0.005,0.024,0.023,0.026,0.0,0.0,0.0,0
25,Micronesia (Federated States of),FSM,Country,2021,10063,8803,11521,9199,8047,10531,8397,7185,9868,7676,6568,9020,2,0,4,2,0,4,1103,860,1410,1008.0,786,1289,561,513,98,86,113,90,79,103,82,70,96,75,64,88,0,0,0,0,0,0,11,8,14,10,8,13,5,5,0.834,0.804,0.861,0.0,0.0,0.0,0.11,0.085,0.137,0.056,0.049,0.064,0.025,0.022,0.03,0.021,0.018,0.025,0.0,0.0,0.0,0.003,0.002,0.004,0.001,0.001,0.001,0
367,Monaco,MCO,Country,2021,293828,283087,304144,385465,371374,398998,264393,254316,275537,346850,333630,361470,9435,7364,11690,12377,9661,15336,20000,19155,20951,26237.0,25129,27485,0,0,7762,7478,8034,10183,9810,10540,6984,6718,7279,9163,8813,9549,249,195,309,327,255,405,528,506,553,693,664,726,0,0,0.9,0.891,0.908,0.032,0.025,0.039,0.068,0.064,0.072,0.0,0.0,0.0,0.036,0.032,0.042,0.032,0.029,0.038,0.001,0.001,0.002,0.002,0.002,0.003,0.0,0.0,0.0,1
38,Mongolia,MNG,Country,2021,1441530,1371018,1512619,4072964,3873735,4273823,741116,671768,809232,2093984,1898044,2286441,6971,3479,11991,19698,9829,33881,378289,371331,385164,1068833.0,1049174,1088259,315154,890449,432,411,454,1221,1162,1282,222,201,243,628,569,686,2,1,4,6,3,10,113,111,116,321,315,326,95,267,0.514,0.489,0.535,0.005,0.002,0.008,0.263,0.25,0.277,0.219,0.208,0.23,0.09,0.085,0.094,0.046,0.041,0.05,0.0,0.0,0.001,0.023,0.023,0.024,0.02,0.019,0.02,0
50,Montenegro,MNE,Country,2021,623286,601761,646584,1642926,1586188,1704338,373192,354433,393536,983700,934252,1037325,6307,3390,10315,16624,8935,27189,230582,218318,244275,607793.0,575467,643886,13206,34809,1007,972,1045,2655,2563,2754,603,573,636,1589,1509,1676,10,5,17,27,14,44,373,353,395,982,930,1040,21,56,0.599,0.582,0.617,0.01,0.005,0.016,0.37,0.351,0.387,0.021,0.02,0.022,0.109,0.105,0.113,0.065,0.062,0.069,0.001,0.001,0.002,0.04,0.038,0.043,0.002,0.002,0.002,3
148,Morocco,MAR,Country,2021,7580455,6839649,8367903,21021364,18967034,23205036,2888809,2438970,3439825,8010958,6763508,9538982,994854,620057,1489272,2758829,1719479,4129902,3335542,2889503,3785973,9249794.0,8012883,10498883,361250,1001782,204,184,225,566,510,624,78,66,93,216,182,257,27,17,40,74,46,111,90,78,102,249,216,282,10,27,0.381,0.331,0.434,0.131,0.084,0.188,0.44,0.394,0.489,0.048,0.043,0.053,0.057,0.05,0.064,0.022,0.018,0.026,0.007,0.005,0.011,0.025,0.021,0.029,0.003,0.003,0.003,0
184,Mozambique,MOZ,Country,2021,1731710,1597169,1876265,4377386,4037294,4742790,467049,342179,608081,1180598,864955,1537097,91410,45773,157228,231064,115704,397438,153773,115107,199882,388704.0,290966,505259,1019479,2577021,56,51,60,141,130,153,15,11,20,38,28,49,3,1,5,7,4,13,5,4,6,13,9,16,33,83,0.269,0.21,0.328,0.053,0.027,0.09,0.089,0.068,0.115,0.59,0.543,0.638,0.096,0.088,0.103,0.026,0.019,0.034,0.005,0.003,0.009,0.008,0.006,0.011,0.056,0.055,0.058,0
15,Myanmar,MMR,Country,2021,3717044,3468458,3999283,14674046,13692685,15788263,704947,581189,847787,2782972,2294402,3346869,1464,720,2557,5778,2841,10093,2546020,2309307,2806857,10051110.0,9116621,11080836,464613,1834186,66,61,71,260,242,279,12,10,15,49,41,59,0,0,0,0,0,0,45,41,50,178,161,196,8,32,0.19,0.16,0.222,0.0,0.0,0.001,0.685,0.651,0.717,0.125,0.116,0.134,0.048,0.04,0.058,0.009,0.007,0.011,0.0,0.0,0.0,0.033,0.027,0.04,0.006,0.005,0.007,0
195,Namibia,NAM,Country,2021,1159466,1082630,1238258,2646423,2471049,2826262,532038,483337,587104,1214350,1103191,1340035,405844,351246,466626,926318,801701,1065050,83413,65807,102882,190385.0,150201,234824,138172,315370,477,445,509,1088,1016,1162,219,199,241,499,454,551,167,144,192,381,330,438,34,27,42,78,62,97,57,130,0.459,0.426,0.493,0.35,0.314,0.386,0.072,0.057,0.088,0.119,0.112,0.128,0.1,0.093,0.107,0.046,0.041,0.051,0.035,0.03,0.04,0.007,0.006,0.009,0.012,0.012,0.012,0
369,Nauru,NRU,Country,2021,19964,19085,20980,18012,17219,18929,16828,16452,17229,15183,14843,15545,299,182,449,269,164,405,2838,1975,3856,2560.0,1782,3479,0,0,1815,1735,1907,1637,1565,1721,1530,1496,1566,1380,1349,1413,27,17,41,24,15,37,258,180,351,233,162,316,0,0,0.843,0.801,0.882,0.015,0.009,0.022,0.142,0.104,0.184,0.0,0.0,0.0,0.134,0.078,0.196,0.113,0.065,0.162,0.002,0.001,0.003,0.019,0.01,0.03,0.0,0.0,0.0,3
164,Nepal,NPL,Country,2021,2258551,2185559,2335643,7984487,7726445,8257025,683360,651896,712274,2415833,2304599,2518049,72139,41526,116540,255026,146802,411994,1050331,988774,1113982,3713157.0,3495539,3938177,452721,1600470,73,71,75,258,249,266,22,21,23,78,74,81,2,1,4,8,5,13,34,32,36,120,113,127,15,52,0.303,0.29,0.316,0.032,0.018,0.051,0.465,0.447,0.482,0.201,0.194,0.207,0.057,0.055,0.06,0.017,0.016,0.018,0.002,0.001,0.003,0.027,0.025,0.028,0.011,0.011,0.012,0
89,Netherlands,NLD,Country,2021,107402631,105436613,109541265,132353507,129930760,134988969,74962818,73652497,76355161,92377549,90762825,94093350,22397742,20955570,23913752,27600997,25823792,29469194,10042071,9488782,10649222,12374960.0,11693137,13123159,0,0,6241,6126,6365,7690,7549,7843,4356,4279,4437,5367,5274,5467,1301,1218,1389,1604,1500,1712,583,551,619,719,679,763,0,0,0.698,0.688,0.709,0.209,0.197,0.22,0.094,0.088,0.099,0.0,0.0,0.0,0.113,0.111,0.115,0.079,0.077,0.08,0.024,0.022,0.025,0.011,0.01,0.011,0.0,0.0,0.0,1
72,New Zealand,NZL,Country,2021,23790343,23370960,24198585,26178971,25717480,26628202,18332571,17950425,18757766,20173220,19752706,20641106,2692966,2567526,2834349,2963349,2825314,3118927,2764806,2622312,2918219,3042402.0,2885601,3211218,0,0,4597,4516,4676,5059,4970,5146,3543,3469,3625,3898,3817,3989,520,496,548,573,546,603,534,507,564,588,558,621,0,0,0.771,0.762,0.778,0.113,0.108,0.119,0.116,0.11,0.123,0.0,0.0,0.0,0.099,0.097,0.101,0.076,0.074,0.078,0.011,0.011,0.012,0.012,0.011,0.012,0.0,0.0,0.0,1
131,Nicaragua,NIC,Country,2021,1608827,1477184,1758064,4903804,4502549,5358690,925320,818337,1038478,2820434,2494342,3165347,23699,11901,40674,72236,36276,123978,448594,371186,533639,1367342.0,1131399,1626564,211213,643791,242,222,265,738,678,806,139,123,156,424,375,476,4,2,6,11,5,19,68,56,80,206,170,245,32,97,0.575,0.535,0.617,0.015,0.008,0.024,0.279,0.238,0.322,0.132,0.12,0.143,0.108,0.098,0.119,0.062,0.055,0.07,0.002,0.001,0.003,0.03,0.025,0.036,0.014,0.014,0.015,0
213,Niger,NER,Country,2021,1199975,1146408,1252955,3075769,2938465,3211565,296314,264125,332243,759511,677003,851604,61852,30613,107609,158537,78466,275822,338504,315371,362498,867651.0,808357,929151,503306,1290070,48,46,50,122,117,128,12,11,13,30,27,34,2,1,4,6,3,11,13,13,14,35,32,37,20,51,0.247,0.224,0.269,0.051,0.026,0.087,0.282,0.263,0.301,0.42,0.402,0.439,0.087,0.083,0.091,0.021,0.019,0.024,0.004,0.002,0.008,0.025,0.023,0.026,0.036,0.036,0.037,0
214,Nigeria,NGA,Country,2021,19091658,17639191,20579871,51219012,47322341,55211584,2513364,2198968,2818757,6742843,5899381,7562149,549878,271775,956695,1475209,729117,2566616,14341928,12991242,15876066,38476458.0,34852846,42592236,1686488,4524502,83,76,89,222,205,239,11,10,12,29,26,33,2,1,4,6,3,11,62,56,69,167,151,185,7,20,0.132,0.116,0.149,0.029,0.014,0.048,0.751,0.726,0.777,0.088,0.082,0.096,0.038,0.035,0.041,0.005,0.004,0.006,0.001,0.001,0.002,0.028,0.026,0.032,0.003,0.003,0.003,0
374,Niue,NIU,Country,2021,3215,2496,4038,3237,2513,4066,2672,1995,3438,2690,2009,3461,107,52,189,108,53,190,436,304,593,439.0,306,597,0,0,1923,1493,2415,1936,1503,2432,1598,1193,2056,1609,1202,2070,64,31,113,65,32,114,261,182,355,263,183,357,0,0,0.829,0.773,0.878,0.034,0.017,0.057,0.137,0.092,0.19,0.0,0.0,0.0,0.105,0.079,0.136,0.087,0.064,0.118,0.004,0.002,0.006,0.014,0.01,0.019,0.0,0.0,0.0,3
49,North Macedonia,MKD,Country,2021,1160710,1104271,1218576,3539950,3367821,3716430,619516,575209,669674,1889408,1754281,2042380,43711,23312,72060,133309,71096,219768,476001,453332,498232,1451715.0,1382579,1519515,21482,65517,531,505,557,1619,1540,1700,283,263,306,864,802,934,20,11,33,61,33,101,218,207,228,664,632,695,10,30,0.534,0.511,0.558,0.038,0.02,0.061,0.41,0.389,0.43,0.019,0.018,0.019,0.083,0.079,0.087,0.044,0.041,0.048,0.003,0.002,0.005,0.034,0.032,0.036,0.002,0.002,0.002,0
376,Northern Mariana Islands,MNP,Country,2021,23361,18487,29238,23361,18487,29238,15181,10799,20278,15181,10799,20278,1209,590,2126,1209,590,2126,6971,4851,9474,6971.0,4851,9474,0,0,482,381,603,482,381,603,313,223,418,313,223,418,25,12,44,25,12,44,144,100,195,144,100,195,0,0,0.648,0.552,0.735,0.052,0.026,0.089,0.3,0.21,0.392,0.0,0.0,0.0,0.024,0.019,0.031,0.016,0.011,0.021,0.001,0.001,0.002,0.007,0.005,0.01,0.0,0.0,0.0,0
90,Norway,NOR,Country,2021,55663834,54660180,56708004,41033693,40293829,41803423,47625224,46662133,48622452,35107873,34397911,35842999,216109,192992,241257,159309,142268,177848,7822500,7543242,8110636,5766510.0,5560650,5978915,0,0,10273,10088,10466,7573,7437,7715,8790,8612,8974,6479,6348,6615,40,36,45,29,26,33,1444,1392,1497,1064,1026,1103,0,0,0.856,0.851,0.86,0.004,0.003,0.004,0.141,0.136,0.145,0.0,0.0,0.0,0.099,0.097,0.101,0.085,0.083,0.087,0.0,0.0,0.0,0.014,0.013,0.014,0.0,0.0,0.0,1
150,Oman,OMN,Country,2021,4803557,4416885,5173897,7995446,7351837,8611872,4181612,3799416,4546316,6960230,6324069,7567274,326061,297402,355354,542724,495021,591481,295883,269935,328431,492493.0,449302,546668,0,0,1022,939,1100,1700,1564,1831,889,808,967,1480,1345,1609,69,63,76,115,105,126,63,57,70,105,96,116,0,0,0.87,0.858,0.882,0.068,0.061,0.075,0.062,0.055,0.069,0.0,0.0,0.0,0.042,0.039,0.045,0.037,0.033,0.04,0.003,0.003,0.003,0.003,0.002,0.003,0.0,0.0,0.0,0
165,Pakistan,PAK,Country,2021,10822320,9096037,12636589,43906799,36903166,51267400,3004896,2207730,3908905,12191045,8956892,15858662,356410,176345,619349,1445977,715441,2512734,6022950,4581091,7894174,24435468.0,18585759,32027136,1438063,5834310,46,39,54,186,157,218,13,9,17,52,38,67,2,1,3,6,3,11,26,19,34,104,79,136,6,25,0.278,0.209,0.349,0.033,0.017,0.057,0.555,0.475,0.632,0.134,0.114,0.158,0.029,0.024,0.034,0.008,0.006,0.01,0.001,0.0,0.002,0.016,0.012,0.021,0.004,0.004,0.004,0
380,Palau,PLW,Country,2021,32966,31903,33874,34304,33197,35248,18182,17306,19089,18919,18008,19864,7523,7053,7998,7829,7339,8323,6506,6262,6761,6770.0,6516,7036,755,785,1818,1759,1868,1892,1831,1944,1003,954,1053,1043,993,1095,415,389,441,432,405,459,359,345,373,373,359,388,42,43,0.551,0.537,0.568,0.228,0.214,0.241,0.197,0.189,0.207,0.023,0.022,0.024,0.135,0.124,0.144,0.074,0.067,0.08,0.031,0.028,0.033,0.027,0.024,0.029,0.003,0.003,0.003,3
149,Palestine,PSE,Country,2021,1962386,1849612,2068354,1096222,1033225,1155418,857682,791117,921940,479116,441932,515012,357198,313452,411953,199537,175100,230124,624262,564980,691584,348723.0,315607,386330,123244,68846,382,360,403,214,201,225,167,154,180,93,86,100,70,61,80,39,34,45,122,110,135,68,62,75,24,13,0.437,0.412,0.461,0.182,0.162,0.206,0.318,0.296,0.343,0.063,0.06,0.067,0.106,0.1,0.114,0.046,0.042,0.051,0.019,0.017,0.022,0.034,0.03,0.038,0.007,0.006,0.007,0
132,Panama,PAN,Country,2021,6274976,6092108,6462659,14196779,13783050,14621400,3505157,3398475,3620344,7930219,7688857,8190824,377156,357612,395605,853293,809078,895035,2392664,2244216,2533424,5413267.0,5077412,5731728,0,0,1463,1420,1506,3309,3213,3408,817,792,844,1849,1792,1909,88,83,92,199,189,209,558,523,591,1262,1184,1336,0,0,0.559,0.544,0.575,0.06,0.057,0.063,0.381,0.364,0.397,0.0,0.0,0.0,0.093,0.089,0.098,0.052,0.05,0.055,0.006,0.005,0.006,0.036,0.033,0.038,0.0,0.0,0.0,3
26,Papua New Guinea,PNG,Country,2021,869377,791590,961313,1078277,981798,1192304,365109,290540,457520,452839,360353,567456,163,0,299,202,0,371,72732,54082,97734,90209.0,67077,121218,431374,535027,83,76,92,103,94,114,35,28,44,43,34,54,0,0,0,0,0,0,7,5,9,9,6,12,41,51,0.419,0.362,0.476,0.0,0.0,0.0,0.084,0.062,0.111,0.497,0.449,0.545,0.029,0.025,0.035,0.012,0.009,0.016,0.0,0.0,0.0,0.002,0.002,0.003,0.015,0.013,0.017,0
136,Paraguay,PRY,Country,2021,3421624,3329814,3542004,8884686,8646291,9197268,1859704,1821849,1896122,4828961,4730666,4923524,279194,202536,396407,724962,525911,1029323,1203148,1177187,1229934,3124129.0,3056719,3193682,79578,206634,481,468,497,1248,1214,1292,261,256,266,678,664,691,39,28,56,102,74,145,169,165,173,439,429,449,11,29,0.544,0.525,0.558,0.081,0.061,0.112,0.352,0.339,0.362,0.023,0.022,0.024,0.08,0.074,0.087,0.043,0.041,0.047,0.007,0.005,0.009,0.028,0.026,0.031,0.002,0.002,0.002,0
123,Peru,PER,Country,2021,14908643,14016756,15965424,31882160,29974858,34142088,9536113,8826698,10257456,20392996,18875910,21935588,1141610,775175,1621045,2441336,1657713,3466607,3998568,3512827,4489584,8550945.0,7512187,9600984,232352,496884,410,386,439,877,825,940,262,243,282,561,519,604,31,21,45,67,46,95,110,97,124,235,207,264,6,14,0.64,0.606,0.672,0.076,0.053,0.108,0.268,0.239,0.295,0.016,0.015,0.017,0.058,0.054,0.062,0.037,0.034,0.04,0.004,0.003,0.006,0.016,0.014,0.017,0.001,0.001,0.001,0
16,Philippines,PHL,Country,2021,21495449,20369202,22748849,62258793,58996764,65889105,8734394,8300970,9173966,25298044,24042688,26571209,2188044,1314304,3331747,6337386,3806711,9649975,8489060,8023510,8937849,24587468.0,23239061,25887326,2083951,6035896,190,180,201,550,521,582,77,73,81,224,213,235,19,12,29,56,34,85,75,71,79,217,205,229,18,53,0.407,0.383,0.431,0.101,0.063,0.146,0.395,0.368,0.418,0.097,0.092,0.102,0.057,0.054,0.061,0.023,0.022,0.024,0.006,0.004,0.009,0.022,0.021,0.024,0.006,0.005,0.006,0
51,Poland,POL,Country,2021,42224331,41520902,42957288,100422608,98749634,102165808,30499762,29918043,31136894,72537931,71154421,74053229,3179529,3023186,3343861,7561910,7190078,7952743,8545041,8251149,8843548,20322768.0,19623802,21032712,0,0,1107,1088,1126,2632,2588,2678,799,784,816,1901,1865,1941,83,79,88,198,188,208,224,216,232,533,514,551,0,0,0.722,0.716,0.729,0.075,0.072,0.079,0.202,0.196,0.209,0.0,0.0,0.0,0.064,0.063,0.065,0.046,0.045,0.047,0.005,0.005,0.005,0.013,0.012,0.013,0.0,0.0,0.0,0
91,Portugal,PRT,Country,2021,26347465,25552052,27142124,45872604,44487740,47256156,16643914,15978719,17356021,28978109,27819962,30217931,2053157,1781125,2359666,3574676,3101052,4108327,7650394,7417260,7889250,13319820.0,12913919,13735684,0,0,2481,2406,2556,4320,4190,4451,1567,1505,1635,2729,2620,2846,193,168,222,337,292,387,721,699,743,1254,1216,1294,0,0,0.632,0.619,0.644,0.078,0.068,0.089,0.29,0.28,0.302,0.0,0.0,0.0,0.108,0.105,0.111,0.068,0.066,0.071,0.008,0.007,0.01,0.031,0.03,0.032,0.0,0.0,0.0,3
385,Puerto Rico,PRI,Country,2021,4083249,3295928,4933101,4552117,3674390,5499555,2979321,2285745,3825439,3321429,2548211,4264704,156692,77342,273252,174685,86223,304629,947235,659181,1287295,1056003.0,734873,1435112,0,0,1240,1001,1498,1382,1116,1670,905,694,1162,1008,774,1295,48,23,83,53,26,92,288,200,391,321,223,436,0,0,0.728,0.651,0.798,0.039,0.019,0.066,0.233,0.163,0.304,0.0,0.0,0.0,0.036,0.029,0.043,0.026,0.02,0.033,0.001,0.001,0.002,0.008,0.006,0.011,0.0,0.0,0.0,3
151,Qatar,QAT,Country,2021,6521850,6004747,7079780,8524074,7848218,9253290,5539217,5027227,6097898,7239769,6570598,7969967,550843,491026,623411,719953,641772,814800,431791,359116,510294,564352.0,469365,666955,0,0,2191,2018,2379,2864,2637,3109,1861,1689,2049,2433,2208,2678,185,165,209,242,216,274,145,121,171,190,158,224,0,0,0.849,0.829,0.869,0.085,0.072,0.098,0.066,0.055,0.079,0.0,0.0,0.0,0.026,0.024,0.029,0.022,0.02,0.025,0.002,0.002,0.003,0.002,0.001,0.002,0.0,0.0,0.0,3
68,Republic of Korea,KOR,Country,2021,151256486,149667468,152976872,251228591,248589322,254086056,92907524,91587913,94270420,154314218,152122418,156577912,15360952,15022296,15678367,25513686,24951196,26040894,42988010,42146170,43876684,71400688.0,70002439,72876727,0,0,2931,2900,2964,4868,4817,4924,1800,1775,1827,2990,2948,3034,298,291,304,494,484,505,833,817,850,1384,1357,1412,0,0,0.614,0.61,0.619,0.102,0.099,0.104,0.284,0.28,0.289,0.0,0.0,0.0,0.093,0.092,0.094,0.057,0.056,0.058,0.009,0.009,0.01,0.026,0.026,0.027,0.0,0.0,0.0,3
61,Republic of Moldova,MDA,Country,2021,1215156,1130856,1288784,3333969,3102679,3535977,772042,698067,842195,2118218,1915256,2310693,22776,11501,39006,62488,31553,107019,342999,316515,369667,941072.0,868408,1014240,77339,212191,339,315,359,929,865,985,215,195,235,590,534,644,6,3,11,17,9,30,96,88,103,262,242,283,22,59,0.635,0.607,0.661,0.019,0.01,0.031,0.282,0.26,0.307,0.064,0.06,0.068,0.061,0.053,0.073,0.039,0.033,0.047,0.001,0.001,0.002,0.017,0.015,0.021,0.004,0.003,0.005,0
52,Romania,ROU,Country,2021,18210952,17722178,18706550,44546011,43350415,45758299,14157832,13660735,14667022,34631629,33415676,35877165,156593,131227,181725,383044,320996,444520,3896527,3823982,3972858,9531338.0,9353886,9718053,0,0,963,937,989,2355,2292,2419,748,722,775,1831,1767,1897,8,7,10,20,17,23,206,202,210,504,494,514,0,0,0.777,0.77,0.785,0.009,0.007,0.01,0.214,0.207,0.221,0.0,0.0,0.0,0.064,0.062,0.066,0.05,0.048,0.052,0.001,0.0,0.001,0.014,0.013,0.014,0.0,0.0,0.0,0
62,Russian Federation,RUS,Country,2021,169847379,165314119,174531732,360984515,351349766,370940388,121481725,118149968,125377964,258190746,251109609,266471604,2764757,2281962,3419052,5876067,4849959,7266670,45595494,42667817,48700731,96906218.0,90683891,103505922,5403,11483,1175,1143,1207,2497,2430,2566,840,817,867,1786,1737,1843,19,16,24,41,34,50,315,295,337,670,627,716,0,0,0.715,0.701,0.729,0.016,0.013,0.02,0.268,0.254,0.282,0.0,0.0,0.0,0.074,0.072,0.077,0.053,0.052,0.055,0.001,0.001,0.002,0.02,0.019,0.021,0.0,0.0,0.0,3
185,Rwanda,RWA,Country,2021,1187025,1068529,1323799,3431132,3088614,3826480,361707,276584,471533,1045525,799475,1362980,126600,67743,207594,365941,195814,600058,88728,70284,111841,256471.0,203158,323280,609990,1763195,89,80,100,258,233,288,27,21,36,79,60,103,10,5,16,28,15,45,7,5,8,19,15,24,46,133,0.304,0.252,0.367,0.106,0.058,0.164,0.075,0.058,0.094,0.515,0.461,0.571,0.097,0.087,0.108,0.029,0.022,0.038,0.01,0.006,0.017,0.007,0.006,0.009,0.05,0.048,0.051,0
393,Saint Kitts and Nevis,KNA,Country,2021,54133,52021,56491,90684,87146,94634,31196,29639,32840,52260,49652,55014,1870,1652,2092,3133,2768,3505,21067,19643,22753,35291.0,32905,38116,0,0,927,891,967,1552,1492,1620,534,507,562,895,850,942,32,28,36,54,47,60,361,336,389,604,563,652,0,0,0.576,0.555,0.597,0.035,0.03,0.039,0.389,0.368,0.41,0.0,0.0,0.0,0.053,0.047,0.064,0.031,0.027,0.037,0.002,0.002,0.002,0.021,0.018,0.025,0.0,0.0,0.0,3
116,Saint Lucia,LCA,Country,2021,99251,94056,105177,139334,132041,147653,47995,44047,51809,67378,61835,72732,6270,4489,8581,8803,6302,12046,42081,38807,45818,59076.0,54479,64322,2905,4078,557,528,590,782,741,828,269,247,291,378,347,408,35,25,48,49,35,68,236,218,257,331,306,361,16,23,0.484,0.456,0.509,0.063,0.046,0.085,0.424,0.395,0.451,0.029,0.028,0.031,0.051,0.048,0.054,0.025,0.023,0.027,0.003,0.002,0.004,0.022,0.02,0.023,0.001,0.001,0.002,0
117,Saint Vincent and the Grenadines,VCT,Country,2021,50596,47720,53496,96035,90575,101539,32507,30509,34617,61700,57908,65706,1232,695,1943,2338,1319,3687,12594,10976,14428,23904.0,20833,27385,4264,8093,444,419,470,844,796,892,286,268,304,542,509,577,11,6,17,21,12,32,111,96,127,210,183,241,37,71,0.643,0.614,0.672,0.024,0.014,0.038,0.249,0.222,0.278,0.084,0.08,0.089,0.053,0.049,0.057,0.034,0.031,0.037,0.001,0.001,0.002,0.013,0.011,0.015,0.004,0.004,0.005,0
27,Samoa,WSM,Country,2021,66719,62339,71376,94717,88499,101328,44915,41116,49522,63763,58370,70304,428,239,681,607,340,967,6858,5366,8598,9736.0,7618,12207,14518,20611,312,292,334,443,414,474,210,192,232,298,273,329,2,1,3,3,2,5,32,25,40,46,36,57,68,96,0.673,0.647,0.7,0.006,0.004,0.01,0.103,0.082,0.126,0.218,0.203,0.233,0.074,0.067,0.082,0.05,0.045,0.056,0.0,0.0,0.001,0.008,0.006,0.01,0.016,0.015,0.017,0
